标题： 谈谈天狗 	 链接：http://tieba.baidu.com//p/5702663939 	 发帖人：算邊 	 发帖时间：00:55 	 回复数量： 7 
标题： 2014区人多吗，想入坑149 	 链接：http://tieba.baidu.com//p/5702342309 	 发帖人：狂傲的魔鬼 	 发帖时间：5-16 	 回复数量： 9 
标题： 今天刚入坑了2015 149法金 问下大佬 我149装备改6 	 链接：http://tieba.baidu.com//p/5702643151 	 发帖人：猛总v5 	 发帖时间：00:31 	 回复数量： 6 
标题： 119找队友，最好物价低的区 	 链接：http://tieba.baidu.com//p/5702427371 	 发帖人：as709622456 	 发帖时间：5-16 	 回复数量： 26 
标题： 2014的兄弟，或者想入坑2014顶级法木，可以瞧瞧了，目前 	 链接：http://tieba.baidu.com//p/5702479700 	 发帖人：梓嘉同学 	 发帖时间：5-16 	 回复数量： 23 
标题： 《道十二》五行队伍养老记 	 链接：http://tieba.baidu.com//p/5695971755 	 发帖人：丿灬失她... 	 发帖时间：5-12 	 回复数量： 52 
标题： 2025，119固定队伍4等一有玩的私聊 	 链接：http://tieba.baidu.com//p/5702763691 	 发帖人：韩滴手 	 发帖时间：04:31 	 回复数量： 2 
标题： 无双没有加帮的伙伴们，赶快加入我们 	 链接：http://tieba.baidu.com//p/5702258759 	 发帖人：苏苏苏允... 	 发帖时间：5-16 	 回复数量： 12 
标题： 今天50级了。。该出师了。。一点也不高兴 	 链接：http://tieba.baidu.com//p/424092056 	 发帖人：指尖祈福 	 发帖时间：2008-07 	 回复数量： 236 
标题： 被封号，没被封的都看过来 	 链接：http://tieba.baidu.com//p/5702577769 	 发帖人：水皇__ 	 发帖时间：5-16 	 回复数量： 34 
标题： 美国空袭叙利亚，作为中国人的我们有何感想？ 	 链接：http://tieba.baidu.com//p/5659121995 	 发帖人：温文狼叔 	 发帖时间：4-21 	 回复数量： 503 
标题： 170级，180级都没有出，还能坑点装备钱，问道应该不会那么 	 链接：http://tieba.baidu.com//p/5699504164 	 发帖人：GM__10086 	 发帖时间：5-15 	 回复数量： 29 
标题： 2500左右收个2015的问道号。 	 链接：http://tieba.baidu.com//p/5702209957 	 发帖人：益达丶heart 	 发帖时间：5-16 	 回复数量： 8 
标题： 5000收个带所有号，只要暴力，区组不限！ 	 链接：http://tieba.baidu.com//p/5702302189 	 发帖人：汽机专工... 	 发帖时间：5-16 	 回复数量： 1 
标题： 大佬们看下这号能卖多少 2015区的。 	 链接：http://tieba.baidu.com//p/5696028467 	 发帖人：如沫泪出丶 	 发帖时间：5-12 	 回复数量： 28 
标题： 2017这个号是挂着玩的吗？？挂到免公式啊？谁认识这个人联系 	 链接：http://tieba.baidu.com//p/5702325114 	 发帖人：就想玩次... 	 发帖时间：5-16 	 回复数量： 5 
标题： 现在问道法和力怎么选 	 链接：http://tieba.baidu.com//p/5697750145 	 发帖人：゛紫Se﹏ 	 发帖时间：5-13 	 回复数量： 21 
标题： 139悟道6层，带一身改六能到5万法伤吗？ 	 链接：http://tieba.baidu.com//p/5702667447 	 发帖人：艾尔豪德 	 发帖时间：01:00 	 回复数量： 8 
标题： 2014大火区79广招道友 	 链接：http://tieba.baidu.com//p/5699238957 	 发帖人：帅哥123420 	 发帖时间：5-14 	 回复数量： 25 
标题： 入坑2015-119 养老了 来人一起玩 	 链接：http://tieba.baidu.com//p/5691932941 	 发帖人：柳清茶 	 发帖时间：5-10 	 回复数量： 255 
标题： 2014免公式卖号1000元 	 链接：http://tieba.baidu.com//p/5702362907 	 发帖人：爱笑的李... 	 发帖时间：5-16 	 回复数量： 3 
标题： 2015区109级找队友，本人渣渣力金号 	 链接：http://tieba.baidu.com//p/5702545757 	 发帖人：笑看浮华... 	 发帖时间：5-16 	 回复数量： 7 
标题： 改价6200挂免了  懂的去秒，不懂的不再多说 	 链接：http://tieba.baidu.com//p/5700880997 	 发帖人：轻挽囉沙... 	 发帖时间：5-15 	 回复数量： 32 
标题： 吧务留情！2012卖139法金！看上联系！悟道7层 	 链接：http://tieba.baidu.com//p/5702556407 	 发帖人：开天辟地p... 	 发帖时间：5-16 	 回复数量： 17 
标题： 2017 小写。有人喜欢79吗 	 链接：http://tieba.baidu.com//p/5702002616 	 发帖人：夏天的风1... 	 发帖时间：5-16 	 回复数量： 14 
标题： 你们卡等级之后每天干什么啊 	 链接：http://tieba.baidu.com//p/5020761503 	 发帖人：XXX天神无限XXX 	 发帖时间：2017-03 	 回复数量： 23 
标题： 2015收个高道敏木，卖的密我，女神镇楼！ 	 链接：http://tieba.baidu.com//p/5702606752 	 发帖人：熊猫喜欢... 	 发帖时间：5-16 	 回复数量： 4 
标题： 2017 平民89水不定期记录 	 链接：http://tieba.baidu.com//p/5687999926 	 发帖人：旧时光昔情 	 发帖时间：5-7 	 回复数量： 80 
标题： 二零一七收119年会空号 	 链接：http://tieba.baidu.com//p/5702630108 	 发帖人：出租问道... 	 发帖时间：00:19 	 回复数量： 2 
标题： 2015第一89第一爪子 还没封印好 大家看看值多少钱 	 链接：http://tieba.baidu.com//p/5700592210 	 发帖人：奔跑的老... 	 发帖时间：5-15 	 回复数量： 55 
标题： 2013力水139卖号，带法假九尾 	 链接：http://tieba.baidu.com//p/5702419584 	 发帖人：一年和... 	 发帖时间：5-16 	 回复数量： 11 
标题： 今年开的区想买一个89-119的小王号！ 	 链接：http://tieba.baidu.com//p/5701251632 	 发帖人：亿吧之帝 	 发帖时间：5-16 	 回复数量： 4 
标题： 问道10年，一共被坑了2000吧，你们都投资多少钱了？ 	 链接：http://tieba.baidu.com//p/5702091566 	 发帖人：GM__10086 	 发帖时间：5-16 	 回复数量： 24 
标题： 甩了甩了，有要2013养老的吗，明晚到寄售 	 链接：http://tieba.baidu.com//p/5702531056 	 发帖人：大雷 	 发帖时间：5-16 	 回复数量： 21 
标题： 2600出 阵惊天下140变异敏超级。可熊狮子刑天 猪刺猬。阎罗。 	 链接：http://tieba.baidu.com//p/5701512951 	 发帖人：旺旺小小... 	 发帖时间：5-16 	 回复数量： 19 
标题： 贴吧收号5000以内，119，139，力法都行，有的联系下 	 链接：http://tieba.baidu.com//p/5701152935 	 发帖人：领不完 	 发帖时间：5-16 	 回复数量： 10 
标题： 收个号，大学生资金有限，三千左右收！或者帮玩我出生活费的！ 	 链接：http://tieba.baidu.com//p/5702695773 	 发帖人：89暴力选手 	 发帖时间：01:41 	 回复数量： 3 
标题： 改8一套。你们说要多少。 	 链接：http://tieba.baidu.com//p/5698077730 	 发帖人：问道招队... 	 发帖时间：5-14 	 回复数量： 19 
标题： 2015出99敏木空号绝版称谓100元啦！！ 	 链接：http://tieba.baidu.com//p/5701343834 	 发帖人：想念根深... 	 发帖时间：5-16 	 回复数量： 32 
标题： 本来不想谈地域黑的问题的，无奈最近频频被人拿起当做攻击的武器 	 链接：http://tieba.baidu.com//p/5702240143 	 发帖人：花落乄叶... 	 发帖时间：5-16 	 回复数量： 47 
标题： 无缘无故被封号了，多图，求安慰。 	 链接：http://tieba.baidu.com//p/5702423431 	 发帖人：小弟一小... 	 发帖时间：5-16 	 回复数量： 67 
标题： 今天晚上擂台 将是一个不眠之夜 	 链接：http://tieba.baidu.com//p/5702291081 	 发帖人：溜冰场的... 	 发帖时间：5-16 	 回复数量： 4 
标题： 遇上个没技术的骗子 	 链接：http://tieba.baidu.com//p/5702588603 	 发帖人：出租问道... 	 发帖时间：5-16 	 回复数量： 26 
标题： 一天天上班好闲。只能玩玩问道。 	 链接：http://tieba.baidu.com//p/5702174334 	 发帖人：a1649412712 	 发帖时间：5-16 	 回复数量： 8 
标题： 事后诸葛亮之谈名人赛：为什么避暑输了华山赢了 	 链接：http://tieba.baidu.com//p/5701577938 	 发帖人：张德帥 	 发帖时间：5-16 	 回复数量： 146 
标题： 我又入坑了，他么这么下去，非死到问道上！刚入坑橘子，玩99， 	 链接：http://tieba.baidu.com//p/5702182210 	 发帖人：情丨无语 	 发帖时间：5-16 	 回复数量： 15 
标题： GM你强，我认输 	 链接：http://tieba.baidu.com//p/5702306316 	 发帖人：万伯南比兔 	 发帖时间：5-16 	 回复数量： 11 
标题： 2015来看看，在删帖cnm 	 链接：http://tieba.baidu.com//p/5701515544 	 发帖人：久孤成瘾i 	 发帖时间：5-16 	 回复数量： 15 
标题： 请教下吧友，两个宠物怎么选，满心法变异没亲密，没心法山寨老虎 	 链接：http://tieba.baidu.com//p/5694487800 	 发帖人：这男人... 	 发帖时间：5-11 	 回复数量： 111 
标题： 押镖一回合应该稳稳的了吧1.5E应该没问题了 	 链接：http://tieba.baidu.com//p/5702359995 	 发帖人：喧闹de_寂寞 	 发帖时间：5-16 	 回复数量： 37 
标题： 问道69小王 有没有无聊固定玩的?了解一下 	 链接：http://tieba.baidu.com//p/5702702443 	 发帖人：大AI啊 	 发帖时间：01:52 	 回复数量： 4 
标题： 2013力金139卖号，2.2W道贫民一位 	 链接：http://tieba.baidu.com//p/5702410430 	 发帖人：一年和... 	 发帖时间：5-16 	 回复数量： 9 
标题： 纵横八荒不停级一直升到满级的记录贴 	 链接：http://tieba.baidu.com//p/5702156567 	 发帖人：放弃我的... 	 发帖时间：5-16 	 回复数量： 42 
标题： 2015。 	 链接：http://tieba.baidu.com//p/5699396490 	 发帖人：一往一初心 	 发帖时间：5-14 	 回复数量： 48 
标题： 2012卖号 	 链接：http://tieba.baidu.com//p/5702586551 	 发帖人：我们约会... 	 发帖时间：5-16 	 回复数量： 1 
标题： 这辈子是不能出来了。。。 	 链接：http://tieba.baidu.com//p/5697471053 	 发帖人：雲心碎風... 	 发帖时间：5-13 	 回复数量： 19 
标题： 2013，160难民号，两万四道。 	 链接：http://tieba.baidu.com//p/5697786022 	 发帖人：为了等TA 	 发帖时间：5-13 	 回复数量： 27 
标题： 3000元左右收个号  ！！！带图来  随时准备入坑…… 	 链接：http://tieba.baidu.com//p/5701070173 	 发帖人：包景思 	 发帖时间：5-16 	 回复数量： 6 
标题： 好像是06年，叫火树银花，可能更早。（因为玩过n多区）56级 	 链接：http://tieba.baidu.com//p/5652230663 	 发帖人：丶会的 	 发帖时间：4-17 	 回复数量： 39 
标题： 2013区139   4=1 	 链接：http://tieba.baidu.com//p/5686747895 	 发帖人：钢蛋儿 	 发帖时间：5-6 	 回复数量： 108 
标题： 一心一意129 垃圾水找人接号。带正版满心法混沌有队伍 	 链接：http://tieba.baidu.com//p/5701485918 	 发帖人：我是你麻... 	 发帖时间：5-16 	 回复数量： 20 
标题： 有谁知道啥意思？ 	 链接：http://tieba.baidu.com//p/5702193142 	 发帖人：渣渣 	 发帖时间：5-16 	 回复数量： 8 
标题： 2014 	 链接：http://tieba.baidu.com//p/5653472381 	 发帖人：丨风不会... 	 发帖时间：4-17 	 回复数量： 71 
标题： 南征北战招69队友一起玩，物价便宜欢迎入住养老 	 链接：http://tieba.baidu.com//p/5697098518 	 发帖人：烟盒zzw 	 发帖时间：5-13 	 回复数量： 49 
标题： 浅谈明天的更新 	 链接：http://tieba.baidu.com//p/5702109065 	 发帖人：人情 	 发帖时间：5-16 	 回复数量： 124 
标题： 小学生的敏金路，我又回来啦～长期更新！！！ 	 链接：http://tieba.baidu.com//p/3438845967 	 发帖人：丹青客 	 发帖时间：2014-11 	 回复数量： 7410 
标题： 有个问题请教下，各位大哥 	 链接：http://tieba.baidu.com//p/5702438520 	 发帖人：英英俊 	 发帖时间：5-16 	 回复数量： 1 
标题： 小王号850以上七宝。2013 	 链接：http://tieba.baidu.com//p/5702541697 	 发帖人：西边日出... 	 发帖时间：5-16 	 回复数量： 2 
标题： 出个2016  区119小土 	 链接：http://tieba.baidu.com//p/5699465232 	 发帖人：寵棄娃娃 	 发帖时间：5-14 	 回复数量： 35 
标题： 大佬们，为什么现在带小号修山只有1文钱。而且副本也带不了。 	 链接：http://tieba.baidu.com//p/5702451907 	 发帖人：安静的枫丶 	 发帖时间：5-16 	 回复数量： 5 
标题： 强迫症，收拾一个多小时终于感觉舒服了 	 链接：http://tieba.baidu.com//p/5702594243 	 发帖人：轻挽囉沙... 	 发帖时间：5-16 	 回复数量： 11 
标题： 问个飞升宝宝归元的问题。。。 	 链接：http://tieba.baidu.com//p/5702710242 	 发帖人：流鸳Ryuuji 	 发帖时间：02:06 	 回复数量： 1 
标题： 黄埔 149新金 悟道7  适合养老用 2560 免 	 链接：http://tieba.baidu.com//p/5702566987 	 发帖人：群星聚会... 	 发帖时间：5-16 	 回复数量： 0 
标题： 卖完自删 大写二零一六59女新土2213道 全套改七武器改八 	 链接：http://tieba.baidu.com//p/5702559311 	 发帖人：樱桃小... 	 发帖时间：5-16 	 回复数量： 7 
标题： 【记录帖】一心一意队伍号记录帖 	 链接：http://tieba.baidu.com//p/5639161179 	 发帖人：後啟oO 	 发帖时间：4-8 	 回复数量： 500 
标题： 【六星成就】神农尝百草—精华版（附坐标） 	 链接：http://tieba.baidu.com//p/5537446471 	 发帖人：南昭歌 	 发帖时间：2-2 	 回复数量： 284 
标题： 2015收个110能带的假神兽，大概多少钱？ 	 链接：http://tieba.baidu.com//p/5702534444 	 发帖人：太极胜境 	 发帖时间：5-16 	 回复数量： 8 
标题： 大写一七或者一心一意，3000左右来个超级体队！ 	 链接：http://tieba.baidu.com//p/5702353739 	 发帖人：朔望刺目 	 发帖时间：5-16 	 回复数量： 10 
标题： 85留情，只求卖49号，八万，来自2016 	 链接：http://tieba.baidu.com//p/5698923770 	 发帖人：八万2016 	 发帖时间：5-14 	 回复数量： 95 
标题： 修山没有废！只是需要多练号 	 链接：http://tieba.baidu.com//p/5702200868 	 发帖人：金牛无泪 	 发帖时间：5-16 	 回复数量： 9 
标题： 新出的机关宠测试-圆我仙元梦 	 链接：http://tieba.baidu.com//p/5697909478 	 发帖人：李振宇k 	 发帖时间：5-14 	 回复数量： 40 
标题： 现在问道施放技能的声音太难听了 	 链接：http://tieba.baidu.com//p/5702265939 	 发帖人：只剩我自... 	 发帖时间：5-16 	 回复数量： 5 
标题： 找几个特别喜欢的号！成交了有红包！！阵惊跟一心的老铁呢！！ 	 链接：http://tieba.baidu.com//p/5702026711 	 发帖人：大叔的老表 	 发帖时间：5-16 	 回复数量： 48 
标题： 2012区业余商人大家多多支持 	 链接：http://tieba.baidu.com//p/5616577319 	 发帖人：乾坤收币... 	 发帖时间：3-26 	 回复数量： 514 
标题： 现在还有黑钱么 	 链接：http://tieba.baidu.com//p/5702593289 	 发帖人：凌涵蔷薇 	 发帖时间：5-16 	 回复数量： 3 
标题： 歌曲改编【盼守】-问道版成都，故地重游之揽仙镇 	 链接：http://tieba.baidu.com//p/5700638030 	 发帖人：xuhappy1225 	 发帖时间：5-15 	 回复数量： 4 
标题： 一七89找一位队友木 	 链接：http://tieba.baidu.com//p/5701087562 	 发帖人：张德帥 	 发帖时间：5-16 	 回复数量： 49 
标题： 2014出售垃圾队伍号，区组比例360需要的看下，价格暂定5 	 链接：http://tieba.baidu.com//p/5702532195 	 发帖人：涩涩的青... 	 发帖时间：5-16 	 回复数量： 7 
标题： 今天刚入手有待提升，找一波队友，老司机在线接日常 三十星 宝 	 链接：http://tieba.baidu.com//p/5699118313 	 发帖人：社会你橙... 	 发帖时间：5-14 	 回复数量： 23 
标题： 更新疑问， 怒气值清空？ 不能3连养精了吗， 杀金角又得墨迹了 	 链接：http://tieba.baidu.com//p/5702623706 	 发帖人：疼请记住爱 	 发帖时间：00:13 	 回复数量： 2 
标题： 无双那个119法金谁的 	 链接：http://tieba.baidu.com//p/5702695404 	 发帖人：dl470388 	 发帖时间：01:40 	 回复数量： 3 
